subject,Ian Lake
arm,right
label,0
hz,100.17150751749527
time,5.181114

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
34118471,0.63067626953125,-0.19970703125,-0.6513671875,-0.37164306640625,8091,1593,584,-2,-3,-2
34128451,0.6304931640625,-0.1998291015625,-0.6514892578125,-0.37176513671875,8118,1589,570,-1,-2,-3
34138432,0.6302490234375,-0.1998291015625,-0.651611328125,-0.37188720703125,8134,1598,561,-1,-2,-3
34148428,0.630126953125,-0.1998291015625,-0.6517333984375,-0.37188720703125,8146,1609,558,0,-2,-2
34158410,0.63006591796875,-0.1998291015625,-0.65185546875,-0.37176513671875,8151,1616,548,1,-1,-1
34168394,0.630126953125,-0.19989013671875,-0.6519775390625,-0.37152099609375,8148,1642,536,1,-1,0
34178369,0.63018798828125,-0.19989013671875,-0.65203857421875,-0.37115478515625,8139,1666,525,2,-1,2
34188359,0.63043212890625,-0.20001220703125,-0.652099609375,-0.37066650390625,8123,1668,519,2,0,2
34198345,0.6307373046875,-0.20013427734375,-0.652099609375,-0.3701171875,8097,1672,506,3,0,3
34208323,0.63104248046875,-0.20013427734375,-0.652099609375,-0.36944580078125,8075,1683,490,4,1,3
34218303,0.63140869140625,-0.20001220703125,-0.65216064453125,-0.368896484375,8063,1695,491,4,1,2
34228287,0.6317138671875,-0.19970703125,-0.6522216796875,-0.368408203125,8038,1717,487,4,2,0
34238272,0.63201904296875,-0.19927978515625,-0.65228271484375,-0.3680419921875,8025,1723,490,5,2,-1
34248250,0.6322021484375,-0.1986083984375,-0.65240478515625,-0.3677978515625,8017,1735,492,5,2,-3
34258236,0.63238525390625,-0.19781494140625,-0.652587890625,-0.36761474609375,8004,1740,482,6,2,-5
34268218,0.63250732421875,-0.19677734375,-0.65283203125,-0.36749267578125,7989,1757,469,6,2,-6
34278202,0.632568359375,-0.19573974609375,-0.653076171875,-0.367431640625,7956,1774,471,7,2,-6
34288182,0.6326904296875,-0.19464111328125,-0.65338134765625,-0.3673095703125,7921,1802,476,7,2,-6
34298173,0.63287353515625,-0.193603515625,-0.65362548828125,-0.3671875,7888,1806,488,7,2,-5
34308156,0.633056640625,-0.19268798828125,-0.65386962890625,-0.3668212890625,7833,1806,475,7,2,-3
34318133,0.63330078125,-0.19189453125,-0.6541748046875,-0.36639404296875,7782,1805,464,7,1,-2
34328115,0.633544921875,-0.19122314453125,-0.6544189453125,-0.36572265625,7739,1809,469,8,1,0
34338095,0.63385009765625,-0.19073486328125,-0.65472412109375,-0.364990234375,7710,1808,482,7,0,1
34348078,0.6341552734375,-0.1903076171875,-0.655029296875,-0.36407470703125,7679,1811,489,8,-1,2
34358058,0.6343994140625,-0.19000244140625,-0.65545654296875,-0.3631591796875,7675,1811,502,8,-2,3
34368045,0.63458251953125,-0.1895751953125,-0.6558837890625,-0.36224365234375,7690,1823,512,8,-2,1
34378027,0.6346435546875,-0.18902587890625,-0.65643310546875,-0.3614501953125,7729,1861,527,8,-3,-1
34388005,0.63446044921875,-0.1883544921875,-0.6571044921875,-0.36083984375,7785,1906,523,8,-4,-3
34397990,0.63421630859375,-0.1875,-0.6578369140625,-0.3604736328125,7837,1947,509,7,-4,-5
34407979,0.63385009765625,-0.18658447265625,-0.6585693359375,-0.36016845703125,7878,1988,490,7,-4,-6
34417954,0.6334228515625,-0.1856689453125,-0.65936279296875,-0.36004638671875,7921,2022,489,6,-4,-6
34427938,0.63299560546875,-0.18487548828125,-0.6600341796875,-0.35992431640625,7958,2041,487,5,-4,-6
34437920,0.63262939453125,-0.1842041015625,-0.66058349609375,-0.35980224609375,7975,2065,473,4,-3,-5
34447906,0.63238525390625,-0.1837158203125,-0.66107177734375,-0.3597412109375,7984,2063,480,3,-3,-3
34457888,0.63214111328125,-0.1834716796875,-0.66143798828125,-0.35955810546875,8003,2068,471,2,-3,-2
34467872,0.6319580078125,-0.183349609375,-0.66168212890625,-0.35943603515625,8025,2067,488,1,-2,-1
34477861,0.63189697265625,-0.18328857421875,-0.661865234375,-0.35931396484375,8056,2066,514,0,-2,0
34487839,0.6318359375,-0.183349609375,-0.66192626953125,-0.35931396484375,8069,2048,541,-1,-2,0
34497819,0.63177490234375,-0.18341064453125,-0.661865234375,-0.359375,8056,2014,567,-1,-1,-1
34507801,0.6317138671875,-0.18341064453125,-0.661865234375,-0.35955810546875,8055,1991,591,-2,-1,-2
34517783,0.631591796875,-0.183349609375,-0.66180419921875,-0.35986328125,8040,1967,607,-2,-1,-3
34527764,0.6314697265625,-0.1832275390625,-0.6617431640625,-0.36029052734375,8019,1936,620,-2,-1,-4
34537755,0.63134765625,-0.18310546875,-0.66168212890625,-0.36065673828125,7993,1905,617,-2,-1,-4
34547738,0.63116455078125,-0.18292236328125,-0.66168212890625,-0.36102294921875,7970,1888,619,-2,-1,-4
34557715,0.63104248046875,-0.18280029296875,-0.66168212890625,-0.36138916015625,7950,1873,623,-2,-1,-5
34567711,0.63092041015625,-0.18255615234375,-0.66168212890625,-0.3616943359375,7944,1857,618,-1,0,-4
34577688,0.63079833984375,-0.18243408203125,-0.66168212890625,-0.36199951171875,7953,1856,619,-1,0,-4
34587671,0.63079833984375,-0.18231201171875,-0.66162109375,-0.36212158203125,7950,1843,625,-1,-1,-3
34597662,0.63079833984375,-0.18218994140625,-0.66162109375,-0.36224365234375,7960,1846,625,0,0,-3
34607639,0.63079833984375,-0.18194580078125,-0.66162109375,-0.36236572265625,7961,1843,622,0,0,-3
34617620,0.63079833984375,-0.18170166015625,-0.66162109375,-0.3624267578125,7967,1850,635,1,0,-3
34627603,0.63079833984375,-0.18133544921875,-0.66168212890625,-0.362548828125,7970,1866,621,1,0,-4
34637588,0.6307373046875,-0.180908203125,-0.6617431640625,-0.3626708984375,7983,1878,593,2,0,-4
34647570,0.63067626953125,-0.18048095703125,-0.66192626953125,-0.36273193359375,7969,1908,559,2,0,-4
34657551,0.63067626953125,-0.1800537109375,-0.66204833984375,-0.36273193359375,7960,1926,533,2,0,-3
34667537,0.63067626953125,-0.1796875,-0.66217041015625,-0.3626708984375,7950,1949,508,2,0,-2
34677513,0.6307373046875,-0.179443359375,-0.66229248046875,-0.3624267578125,7940,1953,488,2,0,-1
34687500,0.630859375,-0.17926025390625,-0.66241455078125,-0.36212158203125,7931,1970,468,3,0,0
34697480,0.6309814453125,-0.1790771484375,-0.6624755859375,-0.36181640625,7936,1979,471,3,0,1
34707464,0.631103515625,-0.178955078125,-0.66259765625,-0.3614501953125,7934,1980,478,3,-1,0
34717448,0.63116455078125,-0.1787109375,-0.66278076171875,-0.36114501953125,7940,1986,470,3,-1,-1
34727432,0.63116455078125,-0.1783447265625,-0.66302490234375,-0.3609619140625,7932,1998,463,3,-1,-2
34737414,0.63104248046875,-0.17791748046875,-0.663330078125,-0.36077880859375,7931,2000,452,3,-1,-3
34747399,0.6309814453125,-0.17742919921875,-0.66363525390625,-0.360595703125,7924,2002,435,4,-1,-3
34757373,0.630859375,-0.1768798828125,-0.6639404296875,-0.3604736328125,7900,2006,426,4,-2,-4
34767355,0.63067626953125,-0.1763916015625,-0.66436767578125,-0.36029052734375,7871,2007,408,4,-2,-4
34777338,0.6304931640625,-0.17584228515625,-0.66473388671875,-0.360107421875,7846,2017,399,4,-2,-4
34787325,0.63037109375,-0.17523193359375,-0.6651611328125,-0.35992431640625,7827,2028,380,5,-2,-4
34797310,0.63018798828125,-0.17462158203125,-0.6656494140625,-0.35968017578125,7817,2037,371,5,-2,-4
34807292,0.62994384765625,-0.174072265625,-0.6661376953125,-0.359375,7818,2044,363,5,-3,-4
34817274,0.6297607421875,-0.17340087890625,-0.6666259765625,-0.35919189453125,7824,2047,368,5,-2,-5
34827258,0.6295166015625,-0.1727294921875,-0.6671142578125,-0.35894775390625,7832,2062,373,5,-3,-4
34837236,0.6292724609375,-0.17205810546875,-0.66766357421875,-0.3587646484375,7862,2065,370,5,-3,-5
34847227,0.6290283203125,-0.17132568359375,-0.66815185546875,-0.35858154296875,7863,2072,375,5,-3,-5
34857211,0.6287841796875,-0.17059326171875,-0.66864013671875,-0.3583984375,7860,2084,371,5,-2,-5
34867200,0.62860107421875,-0.16986083984375,-0.66912841796875,-0.3582763671875,7873,2095,381,5,-2,-6
34877184,0.62835693359375,-0.16912841796875,-0.66961669921875,-0.35809326171875,7887,2119,382,5,-2,-5
34887169,0.62811279296875,-0.16845703125,-0.6700439453125,-0.35797119140625,7914,2132,377,5,-2,-5
34897151,0.62799072265625,-0.1678466796875,-0.67041015625,-0.35784912109375,7932,2142,370,4,-2,-4
34907124,0.62786865234375,-0.1673583984375,-0.6707763671875,-0.357666015625,7944,2163,360,4,-1,-4
34917110,0.6278076171875,-0.1668701171875,-0.6710205078125,-0.3575439453125,7956,2158,359,3,-1,-3
34927098,0.6278076171875,-0.16650390625,-0.67120361328125,-0.35736083984375,7972,2164,347,3,0,-2
34937076,0.62774658203125,-0.1661376953125,-0.67132568359375,-0.3572998046875,7988,2178,331,2,0,-2
34947059,0.62774658203125,-0.165771484375,-0.67144775390625,-0.3572998046875,8018,2215,328,2,0,-3
34957037,0.627685546875,-0.16546630859375,-0.67156982421875,-0.35736083984375,8051,2237,310,1,0,-3
34967021,0.62762451171875,-0.16510009765625,-0.671630859375,-0.3575439453125,8080,2242,313,0,0,-4
34977003,0.62750244140625,-0.164794921875,-0.671630859375,-0.3577880859375,8095,2240,330,0,0,-4
