subject,Ian Lake
arm,left
label,3
hz,100.17348593632924
time,4.95141

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
44949893,-0.17340087890625,0.17352294921875,0.6767578125,-0.69415283203125,-357,-8089,-13,4,3,1
44959877,-0.17340087890625,0.17401123046875,0.67626953125,-0.6944580078125,-343,-8050,-20,4,2,2
44969857,-0.17340087890625,0.17449951171875,0.67584228515625,-0.69476318359375,-318,-8003,-15,4,2,3
44979845,-0.17333984375,0.17498779296875,0.67547607421875,-0.695068359375,-307,-7976,-18,3,2,3
44989826,-0.17327880859375,0.1754150390625,0.67510986328125,-0.69525146484375,-299,-7963,-21,3,2,2
44999809,-0.17327880859375,0.17572021484375,0.67486572265625,-0.6954345703125,-278,-7966,-9,2,1,1
45009792,-0.17327880859375,0.176025390625,0.67462158203125,-0.69561767578125,-257,-8026,-12,2,1,1
45019778,-0.1732177734375,0.1763916015625,0.67437744140625,-0.69573974609375,-240,-8117,-26,2,1,2
45029762,-0.173095703125,0.17681884765625,0.6741943359375,-0.69586181640625,-217,-8193,-44,2,1,3
45039746,-0.1728515625,0.17718505859375,0.67388916015625,-0.69610595703125,-201,-8281,-50,3,1,3
45049728,-0.1727294921875,0.177490234375,0.673583984375,-0.69635009765625,-169,-8363,-34,3,0,3
45059707,-0.1727294921875,0.1776123046875,0.67333984375,-0.69659423828125,-111,-8414,-29,4,0,1
45069693,-0.1729736328125,0.17742919921875,0.67303466796875,-0.69683837890625,-56,-8462,-7,4,0,-2
45079665,-0.1734619140625,0.17706298828125,0.6727294921875,-0.6971435546875,1,-8506,29,5,0,-5
45089649,-0.17425537109375,0.1763916015625,0.6724853515625,-0.69732666015625,76,-8549,92,5,0,-7
45099631,-0.17510986328125,0.175537109375,0.6722412109375,-0.69757080078125,148,-8583,167,4,0,-8
45109613,-0.17620849609375,0.17462158203125,0.6719970703125,-0.69781494140625,245,-8602,260,5,0,-9
45119597,-0.17724609375,0.17364501953125,0.67169189453125,-0.69805908203125,324,-8634,351,4,0,-9
45129581,-0.17822265625,0.172607421875,0.67144775390625,-0.6982421875,434,-8676,419,4,0,-8
