subject,Ian Lake
arm,left
label,1
hz,100.1734202250937
time,3.743508

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
32950730,0.48321533203125,0.65777587890625,0.3125,-0.48590087890625,-7867,2770,-398,-4,4,2
32960708,0.48358154296875,0.6578369140625,0.31268310546875,-0.4853515625,-7880,2786,-379,-4,3,3
32970689,0.48394775390625,0.65789794921875,0.3128662109375,-0.48480224609375,-7900,2796,-355,-4,3,2
32980676,0.48431396484375,0.6578369140625,0.3131103515625,-0.48431396484375,-7908,2802,-355,-4,3,1
32990659,0.484619140625,0.6578369140625,0.3133544921875,-0.48388671875,-7907,2825,-366,-4,3,1
33000641,0.4849853515625,0.6578369140625,0.31353759765625,-0.4833984375,-7928,2863,-416,-4,2,1
33010622,0.48541259765625,0.65789794921875,0.31365966796875,-0.48284912109375,-7973,2914,-454,-4,2,2
33020603,0.48590087890625,0.65789794921875,0.313720703125,-0.48223876953125,-8029,2941,-493,-5,1,4
33030583,0.486572265625,0.65789794921875,0.313720703125,-0.48162841796875,-8071,2954,-507,-6,1,5
33040565,0.4873046875,0.65777587890625,0.313720703125,-0.48101806640625,-8115,2929,-493,-6,0,5
33050547,0.4881591796875,0.6575927734375,0.31365966796875,-0.48040771484375,-8142,2906,-453,-7,0,6
33060530,0.48907470703125,0.6573486328125,0.3135986328125,-0.47991943359375,-8170,2873,-412,-7,0,5
33070514,0.48992919921875,0.65692138671875,0.313720703125,-0.4794921875,-8218,2814,-392,-8,-1,3
33080492,0.49072265625,0.6563720703125,0.31396484375,-0.47930908203125,-8291,2737,-368,-8,-2,2
33090476,0.491455078125,0.65570068359375,0.31427001953125,-0.479248046875,-8396,2641,-337,-8,-3,2
33100458,0.49212646484375,0.6549072265625,0.31463623046875,-0.47943115234375,-8524,2499,-289,-8,-4,1
33110443,0.4927978515625,0.65399169921875,0.31500244140625,-0.47979736328125,-8641,2335,-235,-8,-6,1
33120429,0.493408203125,0.65289306640625,0.31524658203125,-0.48040771484375,-8770,2143,-161,-7,-7,1
33130415,0.493896484375,0.6517333984375,0.31549072265625,-0.48138427734375,-8916,1959,-110,-6,-9,-1
33140394,0.49407958984375,0.65045166015625,0.31585693359375,-0.482666015625,-9056,1783,-108,-4,-11,-4
33150369,0.49395751953125,0.64892578125,0.31640625,-0.48443603515625,-9193,1596,-152,-3,-13,-8
33160350,0.493408203125,0.647216796875,0.31732177734375,-0.48675537109375,-9339,1403,-201,-2,-15,-14
33170337,0.49237060546875,0.64520263671875,0.31854248046875,-0.48968505859375,-9472,1224,-268,0,-17,-20
33180315,0.49072265625,0.64288330078125,0.3201904296875,-0.4932861328125,-9565,1056,-323,1,-19,-28
33190302,0.48846435546875,0.64019775390625,0.3223876953125,-0.49755859375,-9628,930,-359,3,-20,-38
33200287,0.4854736328125,0.63714599609375,0.32513427734375,-0.5025634765625,-9672,860,-361,5,-21,-49
33210267,0.48187255859375,0.63372802734375,0.32843017578125,-0.5081787109375,-9704,832,-355,6,-21,-58
33220250,0.47760009765625,0.63006591796875,0.33233642578125,-0.51422119140625,-9724,823,-335,7,-21,-67
33230239,0.47271728515625,0.62615966796875,0.3367919921875,-0.52056884765625,-9712,811,-314,8,-20,-75
33240221,0.46734619140625,0.62200927734375,0.34161376953125,-0.52716064453125,-9685,787,-279,9,-18,-81
33250207,0.4615478515625,0.61773681640625,0.34686279296875,-0.53387451171875,-9622,749,-219,9,-17,-86
33260187,0.4554443359375,0.61328125,0.35235595703125,-0.54058837890625,-9539,694,-156,9,-15,-89
33270179,0.44903564453125,0.60870361328125,0.358154296875,-0.5472412109375,-9458,651,-110,8,-14,-92
33280168,0.44244384765625,0.6041259765625,0.36407470703125,-0.55377197265625,-9381,595,-69,8,-12,-94
33290138,0.435791015625,0.5994873046875,0.37017822265625,-0.55999755859375,-9323,552,-39,7,-10,-95
33300116,0.42901611328125,0.59490966796875,0.37640380859375,-0.56591796875,-9268,505,-38,5,-8,-95
33310097,0.42236328125,0.59033203125,0.38262939453125,-0.571533203125,-9232,454,-35,4,-7,-94
33320078,0.415771484375,0.5858154296875,0.38885498046875,-0.5767822265625,-9213,413,-39,3,-5,-93
33330063,0.4093017578125,0.581298828125,0.3951416015625,-0.58172607421875,-9230,372,-46,1,-4,-92
33340045,0.4029541015625,0.5767822265625,0.4013671875,-0.58636474609375,-9240,328,-39,0,-3,-91
33350029,0.39654541015625,0.572265625,0.40765380859375,-0.59075927734375,-9250,284,-39,-1,-1,-92
33360008,0.39019775390625,0.567626953125,0.41412353515625,-0.594970703125,-9256,224,-42,-3,-1,-93
33369996,0.3836669921875,0.56298828125,0.42071533203125,-0.59906005859375,-9278,158,-77,-3,0,-94
33379980,0.3770751953125,0.55816650390625,0.4273681640625,-0.60296630859375,-9289,78,-108,-5,1,-96
33389958,0.37042236328125,0.55322265625,0.4342041015625,-0.60675048828125,-9307,-23,-142,-6,1,-97
33399940,0.36376953125,0.548095703125,0.44110107421875,-0.61041259765625,-9310,-122,-181,-7,1,-98
33409921,0.3570556640625,0.5428466796875,0.44805908203125,-0.614013671875,-9307,-251,-199,-8,1,-99
33419908,0.35028076171875,0.53741455078125,0.45513916015625,-0.61749267578125,-9291,-390,-216,-9,1,-100
33429888,0.3433837890625,0.53179931640625,0.4622802734375,-0.62091064453125,-9263,-552,-207,-9,1,-101
33439872,0.33648681640625,0.5260009765625,0.4693603515625,-0.62432861328125,-9218,-712,-167,-10,1,-101
33449853,0.32958984375,0.5201416015625,0.476318359375,-0.62762451171875,-9161,-853,-131,-10,1,-102
33459837,0.32275390625,0.51422119140625,0.48321533203125,-0.6307373046875,-9110,-1007,-118,-10,0,-101
33469820,0.31597900390625,0.50836181640625,0.48992919921875,-0.6337890625,-9059,-1167,-123,-10,0,-99
33479803,0.309326171875,0.50244140625,0.49639892578125,-0.63671875,-9004,-1336,-136,-10,-1,-97
33489784,0.3028564453125,0.49664306640625,0.502685546875,-0.63946533203125,-8946,-1501,-141,-10,-1,-95
33499762,0.29644775390625,0.49072265625,0.50885009765625,-0.64215087890625,-8884,-1665,-142,-10,-1,-94
33509751,0.29010009765625,0.48480224609375,0.5147705078125,-0.644775390625,-8807,-1831,-124,-9,-2,-93
33519734,0.28375244140625,0.47882080078125,0.5206298828125,-0.64739990234375,-8737,-2007,-114,-9,-3,-93
33529712,0.27740478515625,0.47271728515625,0.52630615234375,-0.6500244140625,-8684,-2174,-97,-8,-3,-93
33539698,0.27099609375,0.466552734375,0.5318603515625,-0.65264892578125,-8625,-2339,-96,-7,-4,-93
33549679,0.2646484375,0.46038818359375,0.53717041015625,-0.6552734375,-8567,-2510,-78,-7,-4,-92
