subject,Joshua Spiesman
arm,right
label,1
hz,100.17440859224347
time,3.234359

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
13852842,0.55560302734375,0.1248779296875,-0.73565673828125,-0.36676025390625,6071,5562,-909,0,-1,0
13862829,0.5556640625,0.12481689453125,-0.73565673828125,-0.36669921875,6062,5569,-914,-1,0,0
13872806,0.55572509765625,0.12481689453125,-0.73565673828125,-0.36669921875,6060,5585,-927,-1,0,0
13882791,0.55572509765625,0.12481689453125,-0.73565673828125,-0.36669921875,6058,5603,-933,-1,0,-1
13892778,0.5556640625,0.1248779296875,-0.73565673828125,-0.36676025390625,6050,5608,-951,0,0,-1
13902760,0.55560302734375,0.12493896484375,-0.735595703125,-0.3668212890625,6053,5612,-970,-1,0,-2
13912743,0.55560302734375,0.125,-0.73565673828125,-0.3668212890625,6055,5599,-978,-1,-1,-1
13922737,0.55560302734375,0.125,-0.73565673828125,-0.36676025390625,6052,5594,-978,0,0,0
13932704,0.55572509765625,0.1248779296875,-0.73565673828125,-0.36669921875,6049,5572,-968,-1,0,1
13942689,0.5557861328125,0.124755859375,-0.73565673828125,-0.3665771484375,6035,5565,-971,-1,0,1
13952671,0.55584716796875,0.12451171875,-0.7357177734375,-0.36639404296875,6023,5578,-975,0,-1,2
13962655,0.555908203125,0.12432861328125,-0.73577880859375,-0.36627197265625,6020,5583,-975,0,-1,1
13972633,0.55596923828125,0.12420654296875,-0.73583984375,-0.3660888671875,6023,5576,-973,0,-1,1
13982615,0.5560302734375,0.12408447265625,-0.73590087890625,-0.365966796875,6030,5558,-961,0,-1,1
13992593,0.5560302734375,0.12396240234375,-0.7359619140625,-0.3658447265625,6065,5548,-967,0,-1,0
14002577,0.55609130859375,0.12384033203125,-0.73602294921875,-0.36566162109375,6081,5520,-945,0,-1,1
14012559,0.55621337890625,0.12371826171875,-0.736083984375,-0.36541748046875,6099,5490,-933,0,-1,1
14022544,0.5562744140625,0.12347412109375,-0.7362060546875,-0.3651123046875,6099,5448,-925,1,-1,2
14032526,0.55645751953125,0.12322998046875,-0.736328125,-0.36474609375,6110,5432,-905,1,-1,2
14042509,0.55657958984375,0.1229248046875,-0.73638916015625,-0.36444091796875,6158,5438,-900,1,-1,2
14052490,0.5567626953125,0.12274169921875,-0.73651123046875,-0.36407470703125,6237,5453,-896,1,-1,2
14062474,0.556884765625,0.12249755859375,-0.736572265625,-0.36376953125,6345,5449,-883,1,-1,1
14072456,0.55712890625,0.12225341796875,-0.73663330078125,-0.3634033203125,6469,5439,-875,1,-1,2
14082443,0.55743408203125,0.121826171875,-0.7366943359375,-0.36285400390625,6591,5418,-879,1,0,3
14092429,0.55792236328125,0.121337890625,-0.73675537109375,-0.3623046875,6719,5403,-866,0,1,4
14102409,0.55853271484375,0.1204833984375,-0.73681640625,-0.36151123046875,6884,5378,-856,0,1,7
14112390,0.55938720703125,0.119384765625,-0.73687744140625,-0.36041259765625,7081,5322,-835,1,1,10
14122368,0.56048583984375,0.11798095703125,-0.7369384765625,-0.35906982421875,7304,5244,-810,1,2,13
14132350,0.5618896484375,0.1163330078125,-0.7369384765625,-0.35736083984375,7539,5153,-783,1,3,16
14142332,0.5635986328125,0.1143798828125,-0.73699951171875,-0.355224609375,7820,5055,-765,2,5,20
14152316,0.56573486328125,0.112060546875,-0.7369384765625,-0.35260009765625,8149,4948,-740,3,7,24
14162299,0.56829833984375,0.109375,-0.73687744140625,-0.34942626953125,8522,4813,-710,4,9,29
14172279,0.5712890625,0.10614013671875,-0.73675537109375,-0.34576416015625,8876,4637,-650,4,11,35
14182262,0.57489013671875,0.10235595703125,-0.736572265625,-0.34136962890625,9198,4410,-570,6,13,42
14192249,0.5791015625,0.097900390625,-0.73626708984375,-0.33612060546875,9467,4188,-483,7,15,52
14202235,0.58392333984375,0.09259033203125,-0.73590087890625,-0.33001708984375,9699,4005,-406,7,18,63
14212217,0.58929443359375,0.08642578125,-0.7354736328125,-0.32293701171875,9931,3848,-372,9,20,74
14222201,0.59521484375,0.07965087890625,-0.73492431640625,-0.3150634765625,10125,3735,-358,10,23,83
14232183,0.6014404296875,0.0723876953125,-0.7342529296875,-0.30645751953125,10258,3648,-383,11,25,91
14242173,0.60791015625,0.06463623046875,-0.73345947265625,-0.29730224609375,10328,3597,-441,11,27,98
14252157,0.614501953125,0.056640625,-0.732421875,-0.2877197265625,10341,3582,-508,11,29,103
14262133,0.62109375,0.048583984375,-0.731201171875,-0.2779541015625,10350,3596,-593,11,31,105
14272109,0.62762451171875,0.04052734375,-0.729736328125,-0.2681884765625,10359,3621,-673,11,32,107
14282095,0.634033203125,0.0325927734375,-0.7281494140625,-0.25848388671875,10379,3621,-764,10,33,105
14292078,0.6402587890625,0.02490234375,-0.726318359375,-0.24896240234375,10379,3610,-831,10,34,103
14302060,0.64630126953125,0.01727294921875,-0.72430419921875,-0.23956298828125,10350,3617,-890,9,34,103
14312044,0.65216064453125,0.00958251953125,-0.72222900390625,-0.230224609375,10301,3608,-927,8,34,106
14322023,0.657958984375,0.00152587890625,-0.72003173828125,-0.22064208984375,10234,3575,-952,8,33,110
14332008,0.66357421875,-0.0068359375,-0.7177734375,-0.21075439453125,10168,3504,-952,8,32,114
14341990,0.6690673828125,-0.015625,-0.71551513671875,-0.20050048828125,10073,3387,-936,8,30,119
14351978,0.67425537109375,-0.02471923828125,-0.7132568359375,-0.18988037109375,9920,3239,-918,8,28,122
14361954,0.67913818359375,-0.0340576171875,-0.7110595703125,-0.17901611328125,9738,3089,-885,9,26,125
